"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"3-8220DB001205","1205","Clarehall Shopping Centre","","53.401503","-6.181858","","","0","","Europe/Dublin","0","",""
"3-8220DB001218","1218","Belcamp Lane","","53.399706","-6.184281","","","0","","Europe/Dublin","0","",""
"3-8220DB001219","1219","Danieli Road","","53.381302","-6.208334","","","0","","Europe/Dublin","0","",""
"3-8220DB001220","1220","Artane Cottages","","53.378763","-6.212199","","","0","","Europe/Dublin","0","",""
"3-8220DB001221","1221","Elm Mount Road","","53.376816","-6.216098","","","0","","Europe/Dublin","0","",""
"3-8220DB001222","1222","Ardlea Road","","53.384066","-6.20685","","","0","","Europe/Dublin","0","",""
"3-8220DB001223","1223","Chanel Avenue","","53.385251","-6.208514","","","0","","Europe/Dublin","0","",""
"3-8220DB001224","1224","Maryfield Avenue","","53.386644","-6.210936","","","0","","Europe/Dublin","0","",""
"3-8220DB001225","1225","Maryfield Drive","","53.386859","-6.213904","","","0","","Europe/Dublin","0","",""
"3-8220DB001226","1226","Ardmore Drive","","53.388582","-6.21493","","","0","","Europe/Dublin","0","",""
"3-8220DB001227","1227","Kilmore Avenue","","53.39114","-6.21516","","","0","","Europe/Dublin","0","",""
"3-8220DB001228","1228","Cromcastle Avenue","","53.392429","-6.218513","","","0","","Europe/Dublin","0","",""
"3-8220DB001229","1229","Castletimon Green","","53.394312","-6.225426","","","0","","Europe/Dublin","0","",""
"3-8220DB001231","1231","Castletimon Road","","53.395489","-6.227843","","","0","","Europe/Dublin","0","",""
"3-8220DB001232","1232","Castletimon Park","","53.395286","-6.230483","","","0","","Europe/Dublin","0","",""
"3-8220DB001233","1233","Castletimon Drive","","53.394362","-6.231243","","","0","","Europe/Dublin","0","",""
"3-8220DB001234","1234","Ballyshannon Avenue","","53.394688","-6.232613","","","0","","Europe/Dublin","0","",""
"3-8220DB001235","1235","Castletimon Green","","53.394737","-6.225604","","","0","","Europe/Dublin","0","",""
"3-8220DB001237","1237","Cromcastle Avenue","","53.392679","-6.218984","","","0","","Europe/Dublin","0","",""
"3-8220DB001238","1238","Kilmore Avenue","","53.391566","-6.21491","","","0","","Europe/Dublin","0","",""
"3-8220DB001239","1239","Ardmore Drive","","53.389004","-6.214882","","","0","","Europe/Dublin","0","",""
"3-8220DB001240","1240","Maryfield Avenue","","53.386818","-6.21117","","","0","","Europe/Dublin","0","",""
"3-8220DB001241","1241","Chanel Avenue","","53.385879","-6.209089","","","0","","Europe/Dublin","0","",""
"3-8220DB001242","1242","Ardlea Road","","53.384492","-6.207073","","","0","","Europe/Dublin","0","",""
"3-8220DB001243","1243","Greencastle Avenue","","53.3949","-6.199914","","","0","","Europe/Dublin","0","",""
"3-8220DB001244","1244","Cromcastle Green","","53.392907","-6.220447","","","0","","Europe/Dublin","0","",""
"3-8220DB001245","1245","Glin Avenue","","53.397997","-6.206219","","","0","","Europe/Dublin","0","",""
"3-8220DB001246","1246","Kilbarron Park","","53.393493","-6.222979","","","0","","Europe/Dublin","0","",""
"3-8220DB001247","1247","Greencastle Avenue","","53.395081","-6.199981","","","0","","Europe/Dublin","0","",""
"3-8220DB001248","1248","Greencastle Parade","","53.392989","-6.197167","","","0","","Europe/Dublin","0","",""
"3-8220DB001249","1249","Adare Road","","53.395181","-6.20124","","","0","","Europe/Dublin","0","",""
"3-8220DB001250","1250","Bunratty Road","","53.393739","-6.207556","","","0","","Europe/Dublin","0","",""
"3-8220DB001251","1251","Kilbarron Park","","53.393457","-6.222379","","","0","","Europe/Dublin","0","",""
"3-8220DB001252","1252","Kilmore Road","","53.393638","-6.214613","","","0","","Europe/Dublin","0","",""
"3-8220DB001253","1253","Tranquility Grove","","53.393864","-6.214694","","","0","","Europe/Dublin","0","",""
"3-8220DB001254","1254","Adare Avenue","","53.395117","-6.211363","","","0","","Europe/Dublin","0","",""
"3-8220DB001255","1255","Adare Park","","53.394354","-6.208974","","","0","","Europe/Dublin","0","",""
"3-8220DB001256","1256","Bunratty Road","","53.393631","-6.206944","","","0","","Europe/Dublin","0","",""
"3-8220DB001258","1258","Marigold Avenue","","53.398187","-6.190827","","","0","","Europe/Dublin","0","",""
"3-8220DB001259","1259","Marigold Road","","53.39859","-6.194885","","","0","","Europe/Dublin","0","",""
"3-8220DB001260","1260","Belcamp Avenue","","53.400178","-6.198819","","","0","","Europe/Dublin","0","",""
"3-8220DB001262","1262","Clonshaugh Drive","","53.402004","-6.204908","","","0","","Europe/Dublin","0","",""
"3-8220DB001265","1265","Marigold Avenue","","53.398221","-6.190705","","","0","","Europe/Dublin","0","",""
"3-8220DB001266","1266","Clonshaugh Drive","","53.402055","-6.204725","","","0","","Europe/Dublin","0","",""
"3-8220DB001267","1267","Ferrycarrig Park","","53.400855","-6.200249","","","0","","Europe/Dublin","0","",""
"3-8220DB001268","1268","Belcamp Avenue","","53.399894","-6.197898","","","0","","Europe/Dublin","0","",""
"3-8220DB001269","1269","Marigold Road","","53.398429","-6.193719","","","0","","Europe/Dublin","0","",""
"3-8220DB001270","1270","Darndale Roundabout","","53.396497","-6.18723","","","0","","Europe/Dublin","0","",""
"3-8220DB001272","1272","Newtown Cottages","","53.392882","-6.191879","","","0","","Europe/Dublin","0","",""
"3-8220DB001273","1273","Dunree Park","","53.391109","-6.195277","","","0","","Europe/Dublin","0","",""
"3-8220DB001274","1274","Coolock Junction","","53.388939","-6.19797","","","0","","Europe/Dublin","0","",""
"3-8220DB001275","1275","Coolock Village","","53.385586","-6.202111","","","0","","Europe/Dublin","0","",""
"3-8220DB001276","1276","Mask Avenue","","53.384331","-6.202915","","","0","","Europe/Dublin","0","",""
"3-8220DB001277","1277","Artane Roundabout","","53.382681","-6.206217","","","0","","Europe/Dublin","0","",""
"3-8220DB001278","1278","College Green","","53.344237","-6.2613","","","0","","Europe/Dublin","0","",""
"3-8220DB001279","1279","College Green","","53.34426","-6.261705","","","0","","Europe/Dublin","0","",""
"3-8220DB001280","1280","Mckelvey Avenue","","53.400196","-6.303143","","","0","","Europe/Dublin","0","",""
"3-8220DB001282","1282","South Great George's Street","","53.342342","-6.264501","","","0","","Europe/Dublin","0","",""
"3-8220DB001283","1283","South Great George's Street","","53.341809","-6.264928","","","0","","Europe/Dublin","0","",""
"3-8220DB001284","1284","Redmond's Hill","","53.338187","-6.265894","","","0","","Europe/Dublin","0","",""
"3-8220DB001285","1285","Camden Street Lower","","53.334378","-6.265125","","","0","","Europe/Dublin","0","",""
"3-8220DB001286","1286","Harrington Street","","53.3325","-6.265727","","","0","","Europe/Dublin","0","",""
"3-8220DB001287","1287","Harrington Street","","53.332478","-6.266118","","","0","","Europe/Dublin","0","",""
"3-8220DB001288","1288","Victoria Street","","53.332323","-6.269638","","","0","","Europe/Dublin","0","",""
"3-8220DB001289","1289","Spencer Street South","","53.332129","-6.273039","","","0","","Europe/Dublin","0","",""
"3-8220DB001290","1290","Clanbrassil Upper","","53.330731","-6.275167","","","0","","Europe/Dublin","0","",""
"3-8220DB001291","1291","Mount Drummond Avenue","","53.328447","-6.27631","","","0","","Europe/Dublin","0","",""
"3-8220DB001292","1292","Harold's Cross Park","","53.325634","-6.278124","","","0","","Europe/Dublin","0","",""
"3-8220DB001293","1293","Harold's Cross Village","","53.32286","-6.279103","","","0","","Europe/Dublin","0","",""
"3-8220DB001294","1294","Tivoli Avenue","","53.3206","-6.278803","","","0","","Europe/Dublin","0","",""
"3-8220DB001295","1295","Kenilworth Park","","53.31791","-6.27951","","","0","","Europe/Dublin","0","",""
"3-8220DB001296","1296","Mount Tallant Avenue","","53.315563","-6.281648","","","0","","Europe/Dublin","0","",""
"3-8220DB001297","1297","Whitton Road","","53.31241","-6.28239","","","0","","Europe/Dublin","0","",""
"3-8220DB001298","1298","Terenure North","","53.310747","-6.283027","","","0","","Europe/Dublin","0","",""
"3-8220DB001299","1299","Terenure South","","53.308396","-6.283901","","","0","","Europe/Dublin","0","",""
"3-8220DB001300","1300","Westbourne Road","","53.306151","-6.283421","","","0","","Europe/Dublin","0","",""
"3-8220DB001335","1335","Bushy Park Road","","53.307417","-6.284001","","","0","","Europe/Dublin","0","",""
"3-8220DB001336","1336","Terenure South","","53.308901","-6.284031","","","0","","Europe/Dublin","0","",""
"3-8220DB001337","1337","Terenure North","","53.311179","-6.283069","","","0","","Europe/Dublin","0","",""
"3-8220DB001338","1338","Whitton Road","","53.31243","-6.282584","","","0","","Europe/Dublin","0","",""
"3-8220DB001339","1339","Brighton Square","","53.315024","-6.2823","","","0","","Europe/Dublin","0","",""
"3-8220DB001340","1340","Mount Tallant Avenue","","53.31647","-6.280996","","","0","","Europe/Dublin","0","",""
"3-8220DB001341","1341","Kenilworth Park","","53.319228","-6.278994","","","0","","Europe/Dublin","0","",""
"3-8220DB001342","1342","Tivoli Avenue","","53.32129","-6.27934","","","0","","Europe/Dublin","0","",""
"3-8220DB001343","1343","Harold's Cross Village","","53.322667","-6.279426","","","0","","Europe/Dublin","0","",""
"3-8220DB001344","1344","Saint Claire's School","","53.327171","-6.277608","","","0","","Europe/Dublin","0","",""
"3-8220DB001345","1345","Mount Drummond Avenue","","53.328796","-6.276236","","","0","","Europe/Dublin","0","",""
"3-8220DB001347","1347","Clanbrassil Upper","","53.331183","-6.275344","","","0","","Europe/Dublin","0","",""
"3-8220DB001348","1348","Leonard's Corner","","53.33225","-6.27389","","","0","","Europe/Dublin","0","",""
"3-8220DB001349","1349","Victoria Street","","53.332386","-6.270881","","","0","","Europe/Dublin","0","",""
"3-8220DB001350","1350","Harrington Street","","53.332561","-6.267481","","","0","","Europe/Dublin","0","",""
"3-8220DB001352","1352","Camden Street Lower","","53.334445","-6.265407","","","0","","Europe/Dublin","0","",""
"3-8220DB001353","1353","Wexford Street","","53.33601","-6.265419","","","0","","Europe/Dublin","0","",""
"3-8220DB001354","1354","Redmond's Hill","","53.339048","-6.266076","","","0","","Europe/Dublin","0","",""
"3-8220DB001355","1355","Aungier Street","","53.340096","-6.265839","","","0","","Europe/Dublin","0","",""
"3-8220DB001357","1357","South Great George's Street","","53.342514","-6.264599","","","0","","Europe/Dublin","0","",""
"3-8220DB001358","1358","College Green","","53.344305","-6.262889","","","0","","Europe/Dublin","0","",""
"3-8220DB001359","1359","College Green","","53.344399","-6.261369","","","0","","Europe/Dublin","0","",""
"3-8220DB001360","1360","Leonard's Corner","","53.331983","-6.276618","","","0","","Europe/Dublin","0","",""
"3-8220DB001362","1362","National Stadium","","53.331204","-6.279908","","","0","","Europe/Dublin","0","",""
"3-8220DB001363","1363","Saint Anne's Road South","","53.331846","-6.285167","","","0","","Europe/Dublin","0","",""
"3-8220DB001364","1364","Dolphin Avenue","","53.332346","-6.28806","","","0","","Europe/Dublin","0","",""
"3-8220DB001365","1365","Dolphin's Barn","","53.332901","-6.290455","","","0","","Europe/Dublin","0","",""
"3-8220DB001366","1366","Saint Andrews Centre","","53.33515","-6.294315","","","0","","Europe/Dublin","0","",""
"3-8220DB001367","1367","Rialto Church","","53.335685","-6.296561","","","0","","Europe/Dublin","0","",""
"3-8220DB001369","1369","Mayfield Road","","53.338867","-6.302245","","","0","","Europe/Dublin","0","",""
"3-8220DB001370","1370","Hybreasal House","","53.339124","-6.305317","","","0","","Europe/Dublin","0","",""
"3-8220DB001371","1371","Suir Road North","","53.338832","-6.30787","","","0","","Europe/Dublin","0","",""
"3-8220DB001372","1372","Goldenbridge Avenue","","53.338104","-6.309874","","","0","","Europe/Dublin","0","",""
"3-8220DB001373","1373","Stephens Road","","53.337775","-6.312035","","","0","","Europe/Dublin","0","",""
"3-8220DB001374","1374","Southern Cross Avenue","","53.339218","-6.313014","","","0","","Europe/Dublin","0","",""
"3-8220DB001375","1375","Bulfin Road","","53.339556","-6.31216","","","0","","Europe/Dublin","0","",""
"3-8220DB001376","1376","Bulfin Gardens","","53.339508","-6.308753","","","0","","Europe/Dublin","0","",""
